@relation jhotdraw-6.0b.1

@attribute AllDependency numeric
@attribute isImportant numeric

@data
113,0
219,1
0,0
10,0
4,0
10,0
12,0
2,0
11,0
5,0
22,0
19,0
20,0
17,0
4,0
6,0
11,0
28,0
3,0
9,0
7,0
0,0
4,0
0,0
57,0
25,0
30,0
0,0
54,0
2,0
3,0
1,0
5,0
7,0
2,0
0,0
20,0
5,0
0,0
3,0
14,0
2,0
5,0
12,0
1,0
8,0
1,0
3,0
3,0
1,0
6,0
91,0
4,0
6,0
6,0
2,0
0,0
6,0
1,0
11,0
12,0
5,0
8,0
31,0
19,0
3,0
2,0
2,0
38,0
22,0
8,0
18,0
41,0
21,0
23,0
38,0
2,0
23,0
68,0
20,0
3,0
25,0
6,0
3,0
76,0
68,0
20,0
21,0
12,0
15,0
2,0
5,0
6,0
7,0
9,0
33,0
22,0
9,0
17,0
9,0
36,0
10,0
29,0
6,0
31,0
22,0
35,0
2,0
16,0
47,0
22,0
16,0
29,0
5,0
28,0
10,0
72,0
1,0
9,0
3,0
5,0
3,0
14,0
61,0
17,0
4,0
27,0
15,0
23,0
28,0
22,0
82,0
76,0
23,0
10,0
5,0
0,0
36,1
2,0
3,0
8,1
31,1
17,1
1,0
4,0
5,0
1,0
0,0
1,0
3,0
10,1
1,0
0,0
0,0
2,0
1,0
0,0
5,1
0,0
4,0
14,0
8,0
12,0
9,0
116,0
50,0
25,0
7,0
4,0
27,0
2,0
8,0
13,0
43,0
27,0
25,0
13,0
15,0
16,0
73,0
4,0
28,0
15,0
54,0
18,0
4,0
30,0
11,0
16,0
2,0
18,0
22,0
5,0
22,0
17,0
54,0
17,0
20,0
166,1
63,0
89,0
11,0
47,0
29,0
56,0
25,0
14,0
33,0
23,0
4,0
10,0
14,0
6,0
24,0
3,0
20,0
1,0
16,0
5,0
18,0
14,0
13,0
25,0
4,0
4,0
4,0
47,0
6,0
2,0
3,0
14,0
3,0
37,0
4,0
4,0
18,0
7,0
3,0
23,0
25,0
43,0
22,0
3,0
5,0
4,0
4,0
4,0
48,0
178,1
16,0
3,0
11,0
27,0
4,0
12,0
0,0
3,0
3,0
3,0
13,0
13,0
7,0
9,0
3,0
10,0
8,0
3,0
9,0
3,0
3,0
9,0
2,0
8,0
3,0
8,0
3,0
13,0
9,0
3,0
11,0
8,0
10,0
9,0
3,0
3,0
2,0
16,0
9,0
3,0
10,0
0,0
3,0
8,0
8,0
3,0
9,0
3,0
8,0
3,0
3,0
0,0
9,0
8,0
2,0
3,0
8,0
3,0
3,0
4,0
2,0
4,0
3,0
9,0
11,0
3,0
3,0
8,0
3,0
7,0
9,0
8,0
0,0
4,0
3,0
4,0
0,0
5,0
0,0
3,0
11,0
2,0
2,0
7,0
0,0
2,0
8,0
9,0
8,0
0,0
2,0
2,0
0,0
0,0
3,0
0,0
3,0
0,0
2,0
3,0
0,0
0,0
2,0
3,0
3,0
8,0
3,0
0,0
8,0
0,0
2,0
8,0
2,0
8,0
4,0
4,0
3,0
10,0
9,0
8,0
9,0
8,0
8,0
12,0
9,0
8,0
3,0
17,0
2,0
13,0
7,0
3,0
19,0
14,0
11,0
12,0
3,0
9,0
12,0
5,0
8,0
3,0
8,0
3,0
3,0
7,0
8,0
8,0
8,0
8,0
2,0
4,0
5,0
18,0
8,0
0,0
8,0
10,0
0,0
8,0
5,0
0,0
3,0
6,0
0,0
3,0
3,0
3,0
0,0
3,0
0,0
2,0
9,0
3,0
3,0
3,0
3,0
2,0
3,0
8,0
3,0
13,0
3,0
8,0
5,0
3,0
9,0
8,0
3,0
3,0
6,0
25,0
9,0
9,0
15,0
8,0
3,0
28,0
0,0
2,0
0,0
0,0
0,0
8,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
5,0
6,0
6,0
0,0
15,0
0,0
0,0
0,0
22,0
2,0
2,0
19,0
5,0
0,0
0,0
2,0
19,0
0,0
6,0
8,0
10,0
2,0
6,0
7,0
2,0
22,0
3,0
23,0
32,0
41,0
37,0
19,0
24,0
21,0
0,0
0,0
0,0
