Lines,Statements,% Branches,Calls,Calls/Statements,% Comments,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,WMC,NOF,DIT,NMO,NOC,Abstract,isImportant
24,4,0,0,0,75,1,0,0,1,0.25,0,0,0,0,0,0,0,0
81,19,0,0,0,56.8,7,0.86,1,2,1.16,1,7,3,0,0,0,0,0
43,11,0,3,0.272727273,60.5,2,1,1,2,0.55,1,2,0,2,0,0,1,0
113,30,0,21,0.7,54,10,1.2,1,2,1.23,1,10,3,1,2,0,0,0
237,77,16.9,75,0.974025974,42.2,17,2.88,5,4,1.82,1.76,29,1,2,1,0,0,0
33,5,0,0,0,78.8,3,0,0,1,0.6,0,0,0,1,0,0,0,0
25,11,9.1,1,0.090909091,16,2,1,2,3,0.82,1.5,3,2,1,1,2,0,0
44,11,0,3,0.272727273,61.4,2,1,1,2,0.55,1,2,0,2,0,3,1,0
433,174,10.3,110,0.632183908,32.6,13,4.38,6,5,1.83,1.69,39,9,3,4,0,0,0
132,58,1.7,40,0.689655172,36.4,9,3.78,2,3,1.41,1.11,10,3,3,2,0,0,0
285,116,11.2,79,0.681034483,33.7,14,5.29,6,5,1.71,1.93,25,8,3,2,0,0,0
57,15,0,8,0.533333333,49.1,6,0.83,1,2,1.07,1,6,0,2,0,0,0,0
42,9,0,0,0,73.8,4,0,0,1,0.44,0,0,0,0,0,0,0,0
290,153,13.1,74,0.483660131,8.6,14,3.64,7,5,2.03,1.75,39,7,1,2,2,0,0
42,11,0,3,0.272727273,59.5,2,1,1,2,0.55,1,2,0,2,0,3,1,0
148,63,9.5,37,0.587301587,41.9,9,4.11,4,4,1.62,1.67,13,4,3,2,0,0,0
44,19,0,8,0.421052632,29.5,5,1.8,1,2,1.21,1,5,0,3,1,0,0,0
237,94,13.8,62,0.659574468,35.9,11,5.82,4,4,1.85,2.18,18,5,3,2,0,0,0
184,89,2.2,67,0.752808989,28.8,10,5.4,2,3,1.44,1.2,12,4,2,2,0,0,1
104,37,0,18,0.486486486,39.4,8,2.25,1,2,1.19,1,8,0,2,2,0,0,0
182,67,10.4,36,0.537313433,48.4,4.5,4.89,4,4,1.94,1.78,11,2,2,0,0,0,0
205,98,10.2,65,0.663265306,12.7,9,3.67,5,5,2.17,1.56,18,3,2,4,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,3,0,0,0,46.2,1,0,1,1,0.33,1,1,0,1,0,0,0,0
34,6,0,0,0,76.5,2,0,0,1,0.33,0,0,0,0,0,0,0,0
118,65,7.7,28,0.430769231,9.3,10,3.8,3,3,1.65,1.5,15,6,0,0,0,0,0
88,42,19,17,0.404761905,13.6,3,7,12,6,2.26,4.67,10,1,0,0,0,0,0
40,14,0,0,0,40,4,1.25,1,2,1.14,1,4,2,0,0,0,0,0
5,3,0,0,0,0,1,0,0,1,0.33,0,0,0,0,0,0,0,0
15,9,0,0,0,26.7,6,0,0,1,0.67,0,0,0,0,0,0,0,1
16,7,0,2,0.285714286,18.8,2,1,1,2,0.86,1,2,0,1,0,0,0,0
67,28,7.1,3,0.107142857,31.3,5,3,3,4,1.75,1.4,7,6,1,0,0,0,0
70,36,11.1,15,0.416666667,20,4,4,5,4,1.44,2,8,2,0,0,0,0,0
16,11,0,0,0,18.8,6,0,0,1,0.55,0,0,0,1,0,0,0,0
94,46,6.5,26,0.565217391,17,8,3.5,3,4,1.63,1.38,11,2,1,0,0,0,0
401,238,16.4,167,0.701680672,8.7,7.67,7.7,16,6,2.35,3.04,51,11,0,0,0,0,0
134,82,4.9,75,0.914634146,2.2,4,6.38,5,4,2.04,1.75,7,4,0,0,0,0,0
36,11,9.1,1,0.090909091,41.7,3,0.67,3,3,0.73,1.67,4,0,0,0,0,0,0
26,13,0,0,0,11.5,4,1,1,2,1.08,1,4,2,0,0,3,1,0
220,105,16.2,45,0.428571429,12.3,13,4.54,9,5,1.91,2.38,25,11,0,0,0,0,0
32,17,5.9,6,0.352941176,9.4,4,1.25,2,3,1,1.25,5,2,0,0,0,0,0
233,128,24.2,65,0.5078125,5.6,3,38.33,20,7,3.56,15.67,30,1,0,0,0,0,0
11,2,0,0,0,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0
