topK,accuracy,precision,recall,F1
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.7424242424242424,0.0,0.0,0.0
0.05,0.6825396825396826,0.0,0.0,0.0
0.05,0.7301587301587301,0.0,0.0,0.0
0.05,0.7258064516129032,0.0,0.0,0.0
0.05,0.7076923076923077,0.0,0.0,0.0
0.05,0.6956521739130435,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.6142857142857143,0.0,0.0,0.0
0.05,0.625,0.0,0.0,0.0
0.05,0.6470588235294118,0.0,0.0,0.0
0.05,0.7230769230769231,0.0,0.0,0.0
0.05,0.7313432835820896,0.0,0.0,0.0
0.05,0.7101449275362319,0.0,0.0,0.0
0.05,0.6865671641791045,0.0,0.0,0.0
0.05,0.7246376811594203,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.7833333333333333,0.0,0.0,0.0
0.05,0.7384615384615385,0.0,0.0,0.0
0.05,0.7014925373134329,0.0,0.0,0.0
0.05,0.6774193548387096,0.3333333333333333,0.05263157894736842,0.09090909090909091
0.05,0.6290322580645161,0.0,0.0,0.0
0.05,0.746031746031746,0.0,0.0,0.0
0.05,0.6119402985074627,0.0,0.0,0.0
0.05,0.6896551724137931,0.0,0.0,0.0
0.05,0.671875,0.0,0.0,0.0
0.05,0.7096774193548387,0.0,0.0,0.0
0.05,0.7076923076923077,0.0,0.0,0.0
0.05,0.6491228070175439,0.0,0.0,0.0
0.05,0.6617647058823529,0.0,0.0,0.0
0.05,0.7017543859649122,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.6190476190476191,0.0,0.0,0.0
0.05,0.6721311475409836,0.0,0.0,0.0
0.05,0.7101449275362319,0.0,0.0,0.0
0.05,0.7,0.0,0.0,0.0
0.05,0.703125,0.0,0.0,0.0
0.05,0.6507936507936508,0.0,0.0,0.0
0.05,0.7205882352941176,0.0,0.0,0.0
0.05,0.6338028169014085,0.0,0.0,0.0
0.05,0.6417910447761194,0.0,0.0,0.0
0.05,0.676923076923077,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.6307692307692307,0.0,0.0,0.0
0.05,0.7794117647058824,0.0,0.0,0.0
0.05,0.7794117647058824,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.6964285714285714,0.3333333333333333,0.0625,0.10526315789473684
0.05,0.6610169491525424,0.0,0.0,0.0
0.05,0.6779661016949152,0.0,0.0,0.0
0.05,0.6811594202898551,0.0,0.0,0.0
0.05,0.7301587301587301,0.0,0.0,0.0
0.05,0.6617647058823529,0.0,0.0,0.0
0.05,0.71875,0.0,0.0,0.0
0.05,0.6307692307692307,0.0,0.0,0.0
0.05,0.5882352941176471,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.71875,0.0,0.0,0.0
0.05,0.6417910447761194,0.0,0.0,0.0
0.05,0.6557377049180327,0.0,0.0,0.0
0.05,0.7205882352941176,0.0,0.0,0.0
0.05,0.703125,0.0,0.0,0.0
0.05,0.6229508196721312,0.0,0.0,0.0
0.05,0.676056338028169,0.0,0.0,0.0
0.05,0.7647058823529411,0.0,0.0,0.0
0.05,0.6567164179104478,0.0,0.0,0.0
0.05,0.6615384615384615,0.0,0.0,0.0
0.05,0.6610169491525424,0.0,0.0,0.0
0.05,0.7538461538461538,0.0,0.0,0.0
0.05,0.676923076923077,0.0,0.0,0.0
0.05,0.6229508196721312,0.0,0.0,0.0
0.05,0.7096774193548387,0.0,0.0,0.0
0.05,0.7272727272727273,0.0,0.0,0.0
0.05,0.7288135593220338,0.0,0.0,0.0
0.05,0.6307692307692307,0.0,0.0,0.0
0.05,0.7580645161290323,0.0,0.0,0.0
0.05,0.676923076923077,0.0,0.0,0.0
0.05,0.734375,0.0,0.0,0.0
0.05,0.6896551724137931,0.0,0.0,0.0
0.05,0.703125,0.0,0.0,0.0
0.05,0.6865671641791045,0.0,0.0,0.0
0.05,0.7636363636363637,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.6818181818181818,0.0,0.0,0.0
0.05,0.703125,0.3333333333333333,0.05555555555555555,0.09523809523809525
0.05,0.6851851851851852,0.0,0.0,0.0
0.05,0.6617647058823529,0.0,0.0,0.0
0.05,0.7272727272727273,0.0,0.0,0.0
0.05,0.7424242424242424,0.0,0.0,0.0
0.05,0.6779661016949152,0.0,0.0,0.0
0.05,0.6865671641791045,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.6617647058823529,0.0,0.0,0.0
0.05,0.6481481481481481,0.0,0.0,0.0
0.05,0.640625,0.0,0.0,0.0
0.05,0.7246376811594203,0.0,0.0,0.0
0.05,0.7,0.0,0.0,0.0
0.05,0.6231884057971014,0.0,0.0,0.0
0.05,0.7384615384615385,0.0,0.0,0.0
0.05,0.6712328767123288,0.0,0.0,0.0
0.1,0.625,0.0,0.0,0.0
0.1,0.6818181818181818,0.0,0.0,0.0
