topK,accuracy,precision,recall,F1
0.05,0.9448818897637795,0.0,0.0,0.0
0.05,0.9224806201550387,0.0,0.0,0.0
0.05,0.9126984126984127,0.0,0.0,0.0
0.05,0.9154929577464789,0.0,0.0,0.0
0.05,0.937984496124031,0.0,0.0,0.0
0.05,0.9111111111111111,0.14285714285714285,0.14285714285714285,0.14285714285714285
0.05,0.968503937007874,0.3333333333333333,1.0,0.5
0.05,0.916030534351145,0.0,0.0,0.0
0.05,0.9361702127659575,0.14285714285714285,0.25,0.18181818181818182
0.05,0.9253731343283582,0.0,0.0,0.0
0.05,0.9147286821705426,0.16666666666666666,0.14285714285714285,0.15384615384615383
0.05,0.9457364341085271,0.16666666666666666,0.3333333333333333,0.2222222222222222
0.05,0.937007874015748,0.0,0.0,0.0
0.05,0.9349593495934959,0.16666666666666666,0.25,0.2
0.05,0.9230769230769231,0.0,0.0,0.0
0.05,0.9448818897637795,0.0,0.0,0.0
0.05,0.9064748201438849,0.0,0.0,0.0
0.05,0.9552238805970149,0.2857142857142857,0.6666666666666666,0.4
0.05,0.9365079365079365,0.0,0.0,0.0
0.05,0.920863309352518,0.0,0.0,0.0
0.05,0.9296875,0.0,0.0,0.0
0.05,0.9389312977099237,0.0,0.0,0.0
0.05,0.916030534351145,0.0,0.0,0.0
0.05,0.9024390243902439,0.16666666666666666,0.125,0.14285714285714288
0.05,0.9407407407407408,0.2857142857142857,0.4,0.3333333333333333
0.05,0.9259259259259259,0.14285714285714285,0.2,0.16666666666666666
0.05,0.9212598425196851,0.16666666666666666,0.16666666666666666,0.16666666666666666
0.05,0.9126984126984127,0.16666666666666666,0.14285714285714285,0.15384615384615383
0.05,0.9285714285714286,0.0,0.0,0.0
0.05,0.9153846153846154,0.14285714285714285,0.16666666666666666,0.15384615384615383
0.05,0.9264705882352942,0.2857142857142857,0.2857142857142857,0.2857142857142857
0.05,0.935251798561151,0.14285714285714285,0.25,0.18181818181818182
0.05,0.9111111111111111,0.14285714285714285,0.14285714285714285,0.14285714285714285
0.05,0.9424460431654677,0.2857142857142857,0.4,0.3333333333333333
0.05,0.9253731343283582,0.0,0.0,0.0
0.05,0.9166666666666666,0.14285714285714285,0.16666666666666666,0.15384615384615383
0.05,0.9083969465648855,0.14285714285714285,0.14285714285714285,0.14285714285714285
0.05,0.9481481481481482,0.14285714285714285,0.5,0.22222222222222224
0.05,0.9069767441860465,0.16666666666666666,0.125,0.14285714285714288
0.05,0.9191176470588235,0.14285714285714285,0.16666666666666666,0.15384615384615383
0.05,0.9133858267716536,0.16666666666666666,0.14285714285714285,0.15384615384615383
0.05,0.9411764705882353,0.0,0.0,0.0
0.05,0.9224806201550387,0.0,0.0,0.0
